#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-10-31T13:27:53 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ635fcc46e287c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/AJ/158/109&tab:{J/AJ/158/109/table2}&key:source=J/AJ/158/109/table2&HTTPPRM:&&-ref=VIZ635fcc46e287c&-out.max=unlimited&-out.form=ascii table&-out.all=2&-order=I&-oc.form=dec&-out.src=J/AJ/158/109/table2&-out=b_Per&-out=B_Per&-out=b_Rad&-out=B_Rad&-out=l_fVett&-out=fVett&-out=e_fVett&-out=E_fVett&-out=l_fNoVett&-out=fNoVett&-out=e_fNoVett&-out=E_fNoVett&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/AJ/158/109/table2
#-source=J/AJ/158/109/table2
#-out=b_Per
#-out=B_Per
#-out=b_Rad
#-out=B_Rad
#-out=l_fVett
#-out=fVett
#-out=e_fVett
#-out=E_fVett
#-out=l_fNoVett
#-out=fNoVett
#-out=e_fNoVett
#-out=E_fNoVett
#

#RESOURCE=yCat_51580109
#Name: J/AJ/158/109
#Title: Occurrence rates of planets orbiting FGK stars (Hsu+, 2019)
#Table	J_AJ_158_109_table2:
#Name: J/AJ/158/109/table2
#Title: Inferred planet occurrence rates
#Column	b_Per	(F6.2)	[0.5/256] Period range, lower value	[ucd=time.period;stat.min]
#Column	B_Per	(F6.2)	[1/500] Period range, upper value	[ucd=time.period;stat.max]
#Column	b_Rad	(F5.2)	[0.5/12] Planet radius range, lower value	[ucd=phys.size.radius;stat.min]
#Column	B_Rad	(F5.2)	[0.75/16] Planet radius range, upper value	[ucd=phys.size.radius;stat.max]
#Column	l_fVett	(A1)	[<] Limit flag on fVett	[ucd=meta.code.error]
#Column	fVett	(E10.3)	[0.00015/0.93] Occurrence rate based on combined detection and vetting efficiency model (1)	[ucd=stat.fit.param]
#Column	e_fVett	(E9.2)	[0.0001/0.096]? Lower limit uncertainty in fVett	[ucd=stat.error;stat.min]
#Column	E_fVett	(E10.3)	[0.00014/0.119]? Upper limit uncertainty in fVett	[ucd=stat.error;stat.max]
#Column	l_fNoVett	(A1)	[<] Limit flag on fNoVett	[ucd=meta.code.error]
#Column	fNoVett	(E11.4)	[0.00016/0.95] Occurrence rate based on no vetting efficiency model (1)	[ucd=stat.fit.param]
#Column	e_fNoVett	(E10.3)	[0.00013/0.075]? Lower limit uncertainty in fNoVett	[ucd=stat.error;stat.min]
#Column	E_fNoVett	(E10.3)	[9.5e-05/0.089]? Upper limit uncertainty in fNoVett	[ucd=stat.error;stat.max]
b_Per	B_Per	b_Rad	B_Rad	l_fVett	fVett	e_fVett	E_fVett	l_fNoVett	fNoVett	e_fNoVett	E_fNoVett
d	d	Rgeo	Rgeo	 	 	 	 	 	 	 	
------	------	-----	-----	-	----------	---------	----------	-	-----------	----------	----------
  0.50	  1.00	 0.50	 0.75	 	 2.500e-03	 1.70e-03	 2.600e-03	 	 1.7100e-03	 5.800e-04	 1.340e-03
  0.50	  1.00	 0.75	 1.00	 	 2.700e-03	 9.20e-04	 8.000e-04	 	 2.5000e-03	 1.000e-03	 1.200e-03
  0.50	  1.00	 1.00	 1.25	 	 1.700e-03	 1.10e-03	 1.200e-03	 	 1.9300e-03	 7.400e-04	 1.150e-03
  0.50	  1.00	 1.25	 1.50	 	 1.570e-03	 6.90e-04	 7.400e-04	 	 1.7300e-03	 1.070e-03	 8.700e-04
  0.50	  1.00	 1.50	 1.75	 	 8.300e-04	 5.30e-04	 6.000e-04	 	 7.3000e-04	 4.000e-04	 5.300e-04
  0.50	  1.00	 1.75	 2.00	 	 2.700e-04	 1.90e-04	 2.600e-04	 	 4.1000e-04	 2.100e-04	 4.300e-04
  0.50	  1.00	 2.00	 2.50	<	 5.300e-04	         	          	<	 3.9000e-04	          	
  0.50	  1.00	 2.50	 3.00	<	 5.800e-04	         	          	<	 5.8000e-04	          	
  0.50	  1.00	 3.00	 4.00	<	 6.500e-04	         	          	<	 4.9000e-04	          	
  0.50	  1.00	 4.00	 6.00	 	 2.900e-04	 2.00e-04	 1.400e-04	 	 3.2000e-04	 1.300e-04	 1.400e-04
  0.50	  1.00	 6.00	 8.00	<	 2.400e-04	         	          	<	 1.6000e-04	          	
  0.50	  1.00	 8.00	12.00	<	 3.000e-04	         	          	<	 1.8000e-04	          	
  0.50	  1.00	12.00	16.00	<	 1.900e-04	         	          	<	 2.4000e-04	          	
  1.00	  2.00	 0.50	 0.75	 	 2.600e-03	 1.70e-03	 1.400e-03	 	 2.7000e-03	 1.500e-03	 2.200e-03
  1.00	  2.00	 0.75	 1.00	 	 2.900e-03	 1.10e-03	 1.600e-03	 	 2.4900e-03	 1.770e-03	 9.300e-04
  1.00	  2.00	 1.00	 1.25	 	 1.030e-03	 6.80e-04	 9.600e-04	 	 1.0200e-03	 6.500e-04	 6.500e-04
  1.00	  2.00	 1.25	 1.50	 	 2.200e-03	 1.30e-03	 2.000e-03	 	 2.7000e-03	 1.200e-03	 3.100e-03
  1.00	  2.00	 1.50	 1.75	 	 9.700e-04	 8.30e-04	 6.700e-04	 	 6.4000e-04	 3.400e-04	 8.400e-04
  1.00	  2.00	 1.75	 2.00	 	 6.400e-04	 3.30e-04	 4.900e-04	 	 6.1000e-04	 3.700e-04	 3.300e-04
  1.00	  2.00	 2.00	 2.50	 	 2.300e-04	 1.50e-04	 2.400e-04	 	 2.9000e-04	 1.400e-04	 2.500e-04
  1.00	  2.00	 2.50	 3.00	 	 2.700e-04	 2.10e-04	 3.600e-04	 	 2.2000e-04	 2.100e-04	 4.100e-04
  1.00	  2.00	 3.00	 4.00	<	 4.200e-04	         	          	<	 3.9000e-04	          	
  1.00	  2.00	 4.00	 6.00	<	 3.900e-04	         	          	<	 3.8000e-04	          	
  1.00	  2.00	 6.00	 8.00	<	 1.500e-04	         	          	<	 2.6000e-04	          	
  1.00	  2.00	 8.00	12.00	 	 2.500e-04	 1.00e-04	 2.700e-04	 	 2.9000e-04	 1.800e-04	 1.500e-04
  1.00	  2.00	12.00	16.00	 	 4.100e-04	 1.20e-04	 6.900e-04	 	 4.4000e-04	 3.100e-04	 2.600e-04
  2.00	  4.00	 0.50	 0.75	 	 2.650e-02	 7.70e-03	 8.600e-03	 	 2.4900e-02	 7.500e-03	 6.200e-03
  2.00	  4.00	 0.75	 1.00	 	 1.200e-02	 4.50e-03	 1.500e-03	 	 1.0000e-02	 1.700e-03	 3.700e-03
  2.00	  4.00	 1.00	 1.25	 	 2.500e-03	 1.30e-03	 1.900e-03	 	 2.3000e-03	 1.400e-03	 1.000e-03
  2.00	  4.00	 1.25	 1.50	 	 9.200e-03	 2.30e-03	 2.800e-03	 	 9.4000e-03	 2.300e-03	 2.800e-03
  2.00	  4.00	 1.50	 1.75	 	 5.600e-03	 2.80e-03	 2.500e-03	 	 5.4000e-03	 2.400e-03	 3.100e-03
  2.00	  4.00	 1.75	 2.00	 	 2.900e-03	 1.20e-03	 1.900e-03	 	 2.9000e-03	 1.500e-03	 5.800e-03
  2.00	  4.00	 2.00	 2.50	 	 2.460e-03	 1.19e-03	 7.400e-04	 	 2.5000e-03	 1.600e-03	 1.100e-03
  2.00	  4.00	 2.50	 3.00	 	 7.500e-04	 4.70e-04	 5.100e-04	 	 9.8000e-04	 5.800e-04	 8.700e-04
  2.00	  4.00	 3.00	 4.00	 	 1.280e-03	 6.30e-04	 5.300e-04	 	 1.2100e-03	 6.100e-04	 1.040e-03
  2.00	  4.00	 4.00	 6.00	 	 6.100e-04	 4.10e-04	 4.700e-04	 	 7.1000e-04	 4.100e-04	 4.600e-04
  2.00	  4.00	 6.00	 8.00	<	 6.200e-04	         	          	<	 5.5000e-04	          	
  2.00	  4.00	 8.00	12.00	 	 9.000e-04	 3.60e-04	 8.200e-04	 	 8.4000e-04	 5.100e-04	 7.600e-04
  2.00	  4.00	12.00	16.00	 	 1.620e-03	 5.40e-04	 8.700e-04	 	 1.8400e-03	 8.200e-04	 6.500e-04
