pmin,pmax,rmin,rmax,f
0.5,1,0.5,0.75,0.0006994572212
0.5,1,0.75,1,0.0007554137989
0.5,1,1,1.25,0.0004756309104
0.5,1,1.25,1.5,0.0004392591349
0.5,1,1.5,1.75,0.0002322197974
0.5,1,1.75,2,0.00007554137989
0.5,1,2,2.5,0.00007554137989
0.5,1,2.5,3,0.00007554137989
0.5,1,3,4,0.00007554137989
0.5,1,4,6,0.00008113703766
0.5,1,6,8,0.00008113703766
0.5,1,8,12,0.00008113703766
0.5,1,12,16,0.00008113703766
1,2,0.5,0.75,0.00072743551
1,2,0.75,1,0.0008113703766
1,2,1,1.25,0.0002881763751
1,2,1.25,1.5,0.0006155223547
1,2,1.5,1.75,0.0002713894018
1,2,1.75,2,0.0001790610486
1,2,2,2.5,0.00006435006435
1,2,2.5,3,0.00007554137989
1,2,3,4,0.00007554137989
1,2,4,6,0.00007554137989
1,2,6,8,0.00007554137989
1,2,8,12,0.00006994572212
1,2,12,16,0.0001147109843
2,4,0.5,0.75,0.007414246545
2,4,0.75,1,0.003357394662
2,4,1,1.25,0.0006994572212
2,4,1.25,1.5,0.002574002574
2,4,1.5,1.75,0.001566784175
2,4,1.75,2,0.0008113703766
2,4,2,2.5,0.0006882659057
2,4,2.5,3,0.0002098371664
2,4,3,4,0.0003581220973
2,4,4,6,0.000170667562
2,4,6,8,0.000170667562
2,4,8,12,0.0002518045996
2,4,12,16,0.0004532482793
4,8,0.5,0.75,0.02574002574
4,8,0.75,1,0.008897095854
4,8,1,1.25,0.006714789323
4,8,1.25,1.5,0.00534385317
4,8,1.5,1.75,0.003916960439
4,8,1.75,2,0.001930501931
4,8,2,2.5,0.002881763751
4,8,2.5,3,0.003077611773
4,8,3,4,0.0008953052431
4,8,4,6,0.0004308656483
4,8,6,8,0.000170667562
4,8,8,12,0.0003273459795
4,8,12,16,0.000461641766
8,16,0.5,0.75,0.01846567064
8,16,0.75,1,0.0145487102
8,16,1,1.25,0.009400705053
8,16,1.25,1.5,0.00996027083
8,16,1.5,1.75,0.004784287393
8,16,1.75,2,0.003609199261
8,16,2,2.5,0.008645291254
8,16,2.5,3,0.007414246545
8,16,3,4,0.001958480219
8,16,4,6,0.0009792401097
8,16,6,8,0.0002993676907
8,16,8,12,0.0004420569638
8,16,12,16,0.0002853785462
16,32,0.5,0.75,0.0243411113
16,32,0.75,1,0.0243411113
16,32,1,1.25,0.009512618208
16,32,1.25,1.5,0.006910637345
16,32,1.5,1.75,0.006714789323
16,32,1.75,2,0.001538805887
16,32,2,2.5,0.01527614571
16,32,2.5,3,0.01085557607
16,32,3,4,0.005791505792
16,32,4,6,0.001287001287
16,32,6,8,0.0007833920877
16,32,8,12,0.0005875440658
16,32,12,16,0.0007218398523
32,64,0.5,0.75,0.01147109843
32,64,0.75,1,0.01147109843
32,64,1,1.25,0.01678697331
32,64,1.25,1.5,0.002657937441
32,64,1.5,1.75,0.004028873594
32,64,1.75,2,0.006435006435
32,64,2,2.5,0.01398914442
32,64,2.5,3,0.01846567064
32,64,3,4,0.005791505792
32,64,4,6,0.001287001287
32,64,6,8,0.001398914442
32,64,8,12,0.0007833920877
32,64,12,16,0.001594762464
64,128,0.5,0.75,0.02741872307
64,128,0.75,1,0.02741872307
64,128,1,1.25,0.02741872307
64,128,1.25,1.5,0.005036091993
64,128,1.5,1.75,0.007833920877
64,128,1.75,2,0.00559565777
64,128,2,2.5,0.01734653909
64,128,2.5,3,0.01091153265
64,128,3,4,0.01007218399
64,128,4,6,0.004140786749
64,128,6,8,0.001342957865
64,128,8,12,0.002406132841
64,128,12,16,0.001370936154
128,256,0.5,0.75,0.01091153265
128,256,0.75,1,0.01091153265
128,256,1,1.25,0.01091153265
128,256,1.25,1.5,0.01091153265
128,256,1.5,1.75,0.01091153265
128,256,1.75,2,0.006994572212
128,256,2,2.5,0.01734653909
128,256,2.5,3,0.02098371664
128,256,3,4,0.008393486654
128,256,4,6,0.002937720329
128,256,6,8,0.002769850596
128,256,8,12,0.005847462369
128,256,12,16,0.002769850596
256,500,0.5,0.75,0.04644395949
256,500,0.75,1,0.04644395949
256,500,1,1.25,0.04644395949
256,500,1.25,1.5,0.04644395949
256,500,1.5,1.75,0.04644395949
256,500,1.75,2,0.04448547927
256,500,2,2.5,0.01650719042
256,500,2.5,3,0.02797828885
256,500,3,4,0.009512618208
256,500,4,6,0.008953052431
256,500,6,8,0.006155223547
256,500,8,12,0.005875440658
256,500,12,16,0.00559565777
